,Raw_Tagged,Clean,Bio_tagged,Span_Tagged,Coarse_tag,Coarse_Span_Tagged
0,<<sarga-Adi>T6-kft>U,sarga Adi kft,B-C I-C I-C,"0,2 T6|0,3 U",<<sarga-Adi>Tatpurusha-kft>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
1,<<fk-veda>T6-Adi>Bs6 <<<sarva-deva>K1-suKa>T6-Avaham>U,fk veda Adi sarva deva suKa Avaham,B-C I-C I-C B-C I-C I-C I-C,"0,2 T6|0,3 Bs6|3,5 K1|3,6 T6|3,7 U",<<fk-veda>Tatpurusha-Adi>Bahuvrihi <<<sarva-deva>Tatpurusha-suKa>Tatpurusha-Avaham>Tatpurusha,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Tatpurusha|3,6 Tatpurusha|3,7 Tatpurusha"
2,<<Bukti-mukti>Di-pradam>U,Bukti mukti pradam,B-C I-C I-C,"0,2 Di|0,3 U",<<Bukti-mukti>Dvandva-pradam>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
3,<<kAla-agni>Di-rUpa>T6,kAla agni rUpa,B-C I-C I-C,"0,2 Di|0,3 T6",<<kAla-agni>Dvandva-rUpa>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha"
4,<<<saMsAra-sAgara>K6-uttAra>T6-nAvam>T6,saMsAra sAgara uttAra nAvam,B-C I-C I-C I-C,"0,2 K6|0,3 T6|0,4 T6",<<<saMsAra-sAgara>Tatpurusha-uttAra>Tatpurusha-nAvam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha"
5,<kAla-agni-rudraH>Ds <vidyA-sAram>T6,kAla agni rudraH vidyA sAram,B-C I-C I-C B-C I-C,"0,3 Ds|3,5 T6",<kAla-agni-rudraH>Dvandva <vidyA-sAram>Tatpurusha,"0,3 Dvandva|3,5 Tatpurusha"
6,<vaMSAnucarita-AdeH>Bs6 <<<<matsya-kUrmma>Di-Adi>Bs6-rUpa>T6-Dfk>U,vaMSAnucarita AdeH matsya kUrmma Adi rUpa Dfk,B-C I-C B-C I-C I-C I-C I-C,"0,2 Bs6|2,4 Di|2,5 Bs6|2,6 T6|2,7 U",<vaMSAnucarita-AdeH>Bahuvrihi <<<<matsya-kUrmma>Dvandva-Adi>Bahuvrihi-rUpa>Tatpurusha-Dfk>Tatpurusha,"0,2 Bahuvrihi|2,4 Dvandva|2,5 Bahuvrihi|2,6 Tatpurusha|2,7 Tatpurusha"
7,<<fk-yajuH-sAma-aTarva>Di-AKyAH>Bs6 <veda-aNgAni>T6,fk yajuH sAma aTarva AKyAH veda aNgAni,B-C I-C I-C I-C I-C B-C I-C,"0,4 Di|0,5 Bs6|5,7 T6",<<fk-yajuH-sAma-aTarva>Dvandva-AKyAH>Bahuvrihi <veda-aNgAni>Tatpurusha,"0,4 Dvandva|0,5 Bahuvrihi|5,7 Tatpurusha"
8,<nyAya-vEdyaka-gAnDarvam>Ds <Danuz-vedaH>T6 <arTa-SAstra>T6,nyAya vEdyaka gAnDarvam Danuz vedaH arTa SAstra,B-C I-C I-C B-C I-C B-C I-C,"0,3 Ds|3,5 T6|5,7 T6",<nyAya-vEdyaka-gAnDarvam>Dvandva <Danuz-vedaH>Tatpurusha <arTa-SAstra>Tatpurusha,"0,3 Dvandva|3,5 Tatpurusha|5,7 Tatpurusha"
9,<na-dfSyam>Tn <na-grAhyam>Tn <a-<gotra-caraRam>Di>Bsmn,na dfSyam na grAhyam a gotra caraRam,B-C I-C B-C I-C B-C I-C I-C,"0,2 Tn|2,4 Tn|4,7 Bsmn|5,7 Di",<na-dfSyam>Tatpurusha <na-grAhyam>Tatpurusha <a-<gotra-caraRam>Dvandva>Bahuvrihi,"0,2 Tatpurusha|2,4 Tatpurusha|4,7 Bahuvrihi|5,7 Dvandva"
10,<<matsya-Adi>Bs6-rUpa>T6,matsya Adi rUpa,B-C I-C I-C,"0,2 Bs6|0,3 T6",<<matsya-Adi>Bahuvrihi-rUpa>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha"
11,<<matsya-avatAra>T6-varRanam>T6,matsya avatAra varRanam,B-C I-C I-C,"0,2 T6|0,3 T6",<<matsya-avatAra>Tatpurusha-varRanam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
12,<<matsya-Adi>Bs6-rUpa>T6 <<sarga-Adi>Bs6-kAraRam>T6,matsya Adi rUpa sarga Adi kAraRam,B-C I-C I-C B-C I-C I-C,"0,2 Bs6|0,3 T6|3,5 Bs6|3,6 T6",<<matsya-Adi>Bahuvrihi-rUpa>Tatpurusha <<sarga-Adi>Bahuvrihi-kAraRam>Tatpurusha,"0,2 Bahuvrihi|0,3 Tatpurusha|3,5 Bahuvrihi|3,6 Tatpurusha"
13,<<atIta-kalpa>K1-ante>T6,atIta kalpa ante,B-C I-C I-C,"0,2 K1|0,3 T6",<<atIta-kalpa>Tatpurusha-ante>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
14,<<eka-SfNga>Km-DaraH>U <niyuta-yojanaH>Bs6,eka SfNga DaraH niyuta yojanaH,B-C I-C I-C B-C I-C,"0,2 Km|0,3 U|3,5 Bs6",<<eka-SfNga>Tatpurusha-DaraH>Tatpurusha <niyuta-yojanaH>Bahuvrihi,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Bahuvrihi"
