,Raw_Tagged,Clean,Bio_tagged,Span_Tagged,Coarse_tag,Coarse_Span_Tagged
0,<sa-sarzapaM>BvS <tumburu-DAnya-vanyaM>Ds,sa sarzapaM tumburu DAnya vanyaM,B-C I-C B-C I-C I-C,"0,2 BvS|2,5 Ds",<sa-sarzapaM>Bahuvrihi <tumburu-DAnya-vanyaM>Dvandva,"0,2 Bahuvrihi|2,5 Dvandva"
1,<<hft-anta>T6-sTa>U <saMkawa-boDa>T6,hft anta sTa saMkawa boDa,B-C I-C I-C B-C I-C,"0,2 T6|0,3 U|3,5 T6",<<hft-anta>Tatpurusha-sTa>Tatpurusha <saMkawa-boDa>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
2,<<viSizwa-vESizwya>K1-avagAhI>U,viSizwa vESizwya avagAhI,B-C I-C I-C,"0,2 K1|0,3 U",<<viSizwa-vESizwya>Tatpurusha-avagAhI>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
3,<<SAstra-arTa>T6-vicakzaRaH>T7,SAstra arTa vicakzaRaH,B-C I-C I-C,"0,2 T6|0,3 T7",<<SAstra-arTa>Tatpurusha-vicakzaRaH>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
4,<<vAma-hasta>K1-parigfhItam>T7,vAma hasta parigfhItam,B-C I-C I-C,"0,2 K1|0,3 T7",<<vAma-hasta>Tatpurusha-parigfhItam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
5,<<hIbrU-pracAra>T6-kAryaM>T6,hIbrU pracAra kAryaM,B-C I-C I-C,"0,2 T6|0,3 T6",<<hIbrU-pracAra>Tatpurusha-kAryaM>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
6,<kAMsya-kAraH>U <<pAtra-nirmARa>T6-viDO>T6 <KawKaw-DvaniM>K7,kAMsya kAraH pAtra nirmARa viDO KawKaw DvaniM,B-C I-C B-C I-C I-C B-C I-C,"0,2 U|2,4 T6|2,5 T6|5,7 K7",<kAMsya-kAraH>Tatpurusha <<pAtra-nirmARa>Tatpurusha-viDO>Tatpurusha <KawKaw-DvaniM>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha|5,7 Tatpurusha"
7,<<AdarSa-gfhiRI>K1-Darmasya>T6,AdarSa gfhiRI Darmasya,B-C I-C I-C,"0,2 K1|0,3 T6",<<AdarSa-gfhiRI>Tatpurusha-Darmasya>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
8,<pAda-pIWikAyA>T6 <<rakta-kamala>K1-kOmalO>Bsu,pAda pIWikAyA rakta kamala kOmalO,B-C I-C B-C I-C I-C,"0,2 T6|2,4 K1|2,5 Bsu",<pAda-pIWikAyA>Tatpurusha <<rakta-kamala>Tatpurusha-kOmalO>Bahuvrihi,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Bahuvrihi"
9,<<kampamAna-kara>U-dvayena>T6 <<<sva-vastu>T6-saMBAra>T7-gatam>T3 <SikyA-sadfSam>T3,kampamAna kara dvayena sva vastu saMBAra gatam SikyA sadfSam,B-C I-C I-C B-C I-C I-C I-C B-C I-C,"0,2 U|0,3 T6|3,5 T6|3,6 T7|3,7 T3|7,9 T3",<<kampamAna-kara>Tatpurusha-dvayena>Tatpurusha <<<sva-vastu>Tatpurusha-saMBAra>Tatpurusha-gatam>Tatpurusha <SikyA-sadfSam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|3,6 Tatpurusha|3,7 Tatpurusha|7,9 Tatpurusha"
10,<vAkya-arTaH>T6 <<pada-arTa>T6-boDya>T3,vAkya arTaH pada arTa boDya,B-C I-C B-C I-C I-C,"0,2 T6|2,4 T6|2,5 T3",<vAkya-arTaH>Tatpurusha <<pada-arTa>Tatpurusha-boDya>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
11,<asmat-deSe>T6 <parihAsa-<vi-jalpanam>Tp>T6,asmat deSe parihAsa vi jalpanam,B-C I-C B-C I-C I-C,"0,2 T6|2,5 T6|3,5 Tp",<asmat-deSe>Tatpurusha <parihAsa-<vi-jalpanam>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,5 Tatpurusha|3,5 Tatpurusha"
12,<<sumanas-bfnda>T6-priyAm>T6,sumanas bfnda priyAm,B-C I-C I-C,"0,2 T6|0,3 T6",<<sumanas-bfnda>Tatpurusha-priyAm>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
13,<<pAda-raja>T6-upamAH>Bs6 <<<giri-nadI>T5-vega>T6-upamam>Bs6,pAda raja upamAH giri nadI vega upamam,B-C I-C I-C B-C I-C I-C I-C,"0,2 T6|0,3 Bs6|3,5 T5|3,6 T6|3,7 Bs6",<<pAda-raja>Tatpurusha-upamAH>Bahuvrihi <<<giri-nadI>Tatpurusha-vega>Tatpurusha-upamam>Bahuvrihi,"0,2 Tatpurusha|0,3 Bahuvrihi|3,5 Tatpurusha|3,6 Tatpurusha|3,7 Bahuvrihi"
14,<bahu-vaktra-netram>Bb <mahat-bAho>Bs6 <bahu-bAhu-Uru-pAdam>Bb,bahu vaktra netram mahat bAho bahu bAhu Uru pAdam,B-C I-C I-C B-C I-C B-C I-C I-C I-C,"0,3 Bb|3,5 Bs6|5,9 Bb",<bahu-vaktra-netram>Bahuvrihi <mahat-bAho>Bahuvrihi <bahu-bAhu-Uru-pAdam>Bahuvrihi,"0,3 Bahuvrihi|3,5 Bahuvrihi|5,9 Bahuvrihi"
15,<<na-Agata>Tn-prakASam>K1,na Agata prakASam,B-C I-C I-C,"0,2 Tn|0,3 K1",<<na-Agata>Tatpurusha-prakASam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
16,<<asmad-kula>T6-Danam>T6 <heman-mAlA>T6,asmad kula Danam heman mAlA,B-C I-C I-C B-C I-C,"0,2 T6|0,3 T6|3,5 T6",<<asmad-kula>Tatpurusha-Danam>Tatpurusha <heman-mAlA>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha"
17,<suKa-duHKa-mohezu>Di <Atman-BAvaH>T6,suKa duHKa mohezu Atman BAvaH,B-C I-C I-C B-C I-C,"0,3 Di|3,5 T6",<suKa-duHKa-mohezu>Dvandva <Atman-BAvaH>Tatpurusha,"0,3 Dvandva|3,5 Tatpurusha"
18,<SIta-Atapa-varzAByaH>Di <surakzA-arTaM>T4 <vetra-kawaH>T6,SIta Atapa varzAByaH surakzA arTaM vetra kawaH,B-C I-C I-C B-C I-C B-C I-C,"0,3 Di|3,5 T4|5,7 T6",<SIta-Atapa-varzAByaH>Dvandva <surakzA-arTaM>Tatpurusha <vetra-kawaH>Tatpurusha,"0,3 Dvandva|3,5 Tatpurusha|5,7 Tatpurusha"
19,<na-jita-indriyAn>Bb <na-<puruzArTa-saMbanDainam>T6>Tn,na jita indriyAn na puruzArTa saMbanDainam,B-C I-C I-C B-C I-C I-C,"0,3 Bb|3,6 Tn|4,6 T6",<na-jita-indriyAn>Bahuvrihi <na-<puruzArTa-saMbanDainam>Tatpurusha>Tatpurusha,"0,3 Bahuvrihi|3,6 Tatpurusha|4,6 Tatpurusha"
20,<<<arTa-antara>Tm-anvita>T3-arTe>K1,arTa antara anvita arTe,B-C I-C I-C I-C,"0,2 Tm|0,3 T3|0,4 K1",<<<arTa-antara>Tatpurusha-anvita>Tatpurusha-arTe>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha"
21,<<siMha-dvArasTa>T6-prahariRA>T6 <prahara-samApti>T6 <<GaRwA-nAda>T6-saMsUcanA>T6,siMha dvArasTa prahariRA prahara samApti GaRwA nAda saMsUcanA,B-C I-C I-C B-C I-C B-C I-C I-C,"0,2 T6|0,3 T6|3,5 T6|5,7 T6|5,8 T6",<<siMha-dvArasTa>Tatpurusha-prahariRA>Tatpurusha <prahara-samApti>Tatpurusha <<GaRwA-nAda>Tatpurusha-saMsUcanA>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha|3,5 Tatpurusha|5,7 Tatpurusha|5,8 Tatpurusha"
22,<<tyAga-saMnyAsa>Di-vikalpe>T6 <yaTA-darSite>A1 <Barata-sattama>T6,tyAga saMnyAsa vikalpe yaTA darSite Barata sattama,B-C I-C I-C B-C I-C B-C I-C,"0,2 Di|0,3 T6|3,5 A1|5,7 T6",<<tyAga-saMnyAsa>Dvandva-vikalpe>Tatpurusha <yaTA-darSite>Avyayibhava <Barata-sattama>Tatpurusha,"0,2 Dvandva|0,3 Tatpurusha|3,5 Avyayibhava|5,7 Tatpurusha"
23,<<mfga-mAMsa>T6-nirmitam>T3,mfga mAMsa nirmitam,B-C I-C I-C,"0,2 T6|0,3 T3",<<mfga-mAMsa>Tatpurusha-nirmitam>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
24,<arTa-lABasya>T6 <su-yogaM>Tp <<kukkara-hatyA>T6-pApasya>T6,arTa lABasya su yogaM kukkara hatyA pApasya,B-C I-C B-C I-C B-C I-C I-C,"0,2 T6|2,4 Tp|4,6 T6|4,7 T6",<arTa-lABasya>Tatpurusha <su-yogaM>Tatpurusha <<kukkara-hatyA>Tatpurusha-pApasya>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|4,6 Tatpurusha|4,7 Tatpurusha"
25,<mahat-rAjaH>K1 <sva-<kfpA-pAtrAt>T6>T6,mahat rAjaH sva kfpA pAtrAt,B-C I-C B-C I-C I-C,"0,2 K1|2,5 T6|3,5 T6",<mahat-rAjaH>Tatpurusha <sva-<kfpA-pAtrAt>Tatpurusha>Tatpurusha,"0,2 Tatpurusha|2,5 Tatpurusha|3,5 Tatpurusha"
26,<<na-jYAta>Tn-<kula-SIlasya>Di>Bs6,na jYAta kula SIlasya,B-C I-C I-C I-C,"0,2 Tn|0,4 Bs6|2,4 Di",<<na-jYAta>Tatpurusha-<kula-SIlasya>Dvandva>Bahuvrihi,"0,2 Tatpurusha|0,4 Bahuvrihi|2,4 Dvandva"
27,<<veda-arTa>T6-vit>U,veda arTa vit,B-C I-C I-C,"0,2 T6|0,3 U",<<veda-arTa>Tatpurusha-vit>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
28,<saMskfta-CAtra>T6 <<tat-gfha>T6-aBimuKataH>T2,saMskfta CAtra tat gfha aBimuKataH,B-C I-C B-C I-C I-C,"0,2 T6|2,4 T6|2,5 T2",<saMskfta-CAtra>Tatpurusha <<tat-gfha>Tatpurusha-aBimuKataH>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
29,<sattva-rajas-tamAMsi>Di,sattva rajas tamAMsi,B-C I-C I-C,"0,3 Di",<sattva-rajas-tamAMsi>Dvandva,"0,3 Dvandva"
30,<<sva-kArya>T6-loBAt>T7,sva kArya loBAt,B-C I-C I-C,"0,2 T6|0,3 T7",<<sva-kArya>Tatpurusha-loBAt>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
31,<vIra-prerita>T3 <<sva-kArya>T6-sADane>T6,vIra prerita sva kArya sADane,B-C I-C B-C I-C I-C,"0,2 T3|2,4 T6|2,5 T6",<vIra-prerita>Tatpurusha <<sva-kArya>Tatpurusha-sADane>Tatpurusha,"0,2 Tatpurusha|2,4 Tatpurusha|2,5 Tatpurusha"
32,<<yadu-vaMSa>T6-keto>T6,yadu vaMSa keto,B-C I-C I-C,"0,2 T6|0,3 T6",<<yadu-vaMSa>Tatpurusha-keto>Tatpurusha,"0,2 Tatpurusha|0,3 Tatpurusha"
33,<<<cEtra-kartfka>Bs6-tva-boDa>T6-saMBavAt>T6,cEtra kartfka tva boDa saMBavAt,B-C I-C I-C I-C I-C,"0,2 Bs6|0,4 T6|0,5 T6",<<<cEtra-kartfka>Bahuvrihi-tva-boDa>Tatpurusha-saMBavAt>Tatpurusha,"0,2 Bahuvrihi|0,4 Tatpurusha|0,5 Tatpurusha"
