,Raw_Tagged,Book,Clean,Bio_tagged,Span_Tagged,Coarse_Span_Tagged,Coarse_tag
0,"sArAt sAraH hi BagavAn vizRuH <<sarga-Adi>T6-kft>U viBuH
",agnipurana,"sArAt sAraH hi BagavAn vizRuH sarga Adi kft viBuH
",O O O O O B-C I-C I-C O,"5,7 T6|5,8 U","5,7 Tatpurusha|5,8 Tatpurusha","sArAt sAraH hi BagavAn vizRuH <<sarga-Adi>Tatpurusha-kft>Tatpurusha viBuH
"
1,"<<fk-veda>T6-Adi>Bs6 aparam brahma <<<sarva-deva>K1-suKa>T6-Avaham>U
",agnipurana,"fk veda Adi aparam brahma sarva deva suKa Avaham
",B-C I-C I-C O O B-C I-C I-C I-C,"0,2 T6|0,3 Bs6|5,7 K1|5,8 T6|5,9 U","0,2 Tatpurusha|0,3 Bahuvrihi|5,7 Tatpurusha|5,8 Tatpurusha|5,9 Tatpurusha","<<fk-veda>Tatpurusha-Adi>Bahuvrihi aparam brahma <<<sarva-deva>Tatpurusha-suKa>Tatpurusha-Avaham>Tatpurusha
"
2,"<<Bukti-mukti>Di-pradam>U divyam paWatAm SfRvatAm nfRAm
",agnipurana,"Bukti mukti pradam divyam paWatAm SfRvatAm nfRAm
",B-C I-C I-C O O O O,"0,2 Di|0,3 U","0,2 Dvandva|0,3 Tatpurusha","<<Bukti-mukti>Dvandva-pradam>Tatpurusha divyam paWatAm SfRvatAm nfRAm
"
3,"<<kAla-agni>Di-rUpa>T6 in vizRum jyotiH brahma parAt param
",agnipurana,"kAla agni rUpa in vizRum jyotiH brahma parAt param
",B-C I-C I-C O O O O O O,"0,2 Di|0,3 T6","0,2 Dvandva|0,3 Tatpurusha","<<kAla-agni>Dvandva-rUpa>Tatpurusha in vizRum jyotiH brahma parAt param
"
4,"<<<saMsAra-sAgara>K6-uttAra>T6-nAvam>T6 brahma ISvaram vada
",agnipurana,"saMsAra sAgara uttAra nAvam brahma ISvaram vada
",B-C I-C I-C I-C O O O,"0,2 K6|0,3 T6|0,4 T6","0,2 Tatpurusha|0,3 Tatpurusha|0,4 Tatpurusha","<<<saMsAra-sAgara>Tatpurusha-uttAra>Tatpurusha-nAvam>Tatpurusha brahma ISvaram vada
"
5,"vizRuH <kAla-agni-rudraH>Ds aham <vidyA-sAram>T6 vadAmi te
",agnipurana,"vizRuH kAla agni rudraH aham vidyA sAram vadAmi te
",O B-C I-C I-C O B-C I-C O O,"1,4 Ds|5,7 T6","1,4 Dvandva|5,7 Tatpurusha","vizRuH <kAla-agni-rudraH>Dvandva aham <vidyA-sAram>Tatpurusha vadAmi te
"
6,"<vaMSAnucarita-AdeH>Bs6 ca <<<<matsya-kUrmma>Di-Adi>Bs6-rUpa>T6-Dfk>U
",agnipurana,"vaMSAnucarita AdeH ca matsya kUrmma Adi rUpa Dfk
",B-C I-C O B-C I-C I-C I-C I-C,"0,2 Bs6|3,5 Di|3,6 Bs6|3,7 T6|3,8 U","0,2 Bahuvrihi|3,5 Dvandva|3,6 Bahuvrihi|3,7 Tatpurusha|3,8 Tatpurusha","<vaMSAnucarita-AdeH>Bahuvrihi ca <<<<matsya-kUrmma>Dvandva-Adi>Bahuvrihi-rUpa>Tatpurusha-Dfk>Tatpurusha
"
7,"<<fk-yajuH-sAma-aTarva>Di-AKyAH>Bs6 <veda-aNgAni>T6 ca zaw dvija
",agnipurana,"fk yajuH sAma aTarva AKyAH veda aNgAni ca zaw dvija
",B-C I-C I-C I-C I-C B-C I-C O O O,"0,4 Di|0,5 Bs6|5,7 T6","0,4 Dvandva|0,5 Bahuvrihi|5,7 Tatpurusha","<<fk-yajuH-sAma-aTarva>Dvandva-AKyAH>Bahuvrihi <veda-aNgAni>Tatpurusha ca zaw dvija
"
8,"<nyAya-vEdyaka-gAnDarvam>Ds <Danuz-vedaH>T6 <arTa-SAstra>T6 kam
",agnipurana,"nyAya vEdyaka gAnDarvam Danuz vedaH arTa SAstra kam
",B-C I-C I-C B-C I-C B-C I-C O,"0,3 Ds|3,5 T6|5,7 T6","0,3 Dvandva|3,5 Tatpurusha|5,7 Tatpurusha","<nyAya-vEdyaka-gAnDarvam>Dvandva <Danuz-vedaH>Tatpurusha <arTa-SAstra>Tatpurusha kam
"
9,"yat tat <na-dfSyam>Tn <na-grAhyam>Tn <a-<gotra-caraRam>Di>Bsmn Druvam
",agnipurana,"yat tat na dfSyam na grAhyam a gotra caraRam Druvam
",O O B-C I-C B-C I-C B-C I-C I-C O,"2,4 Tn|4,6 Tn|6,9 Bsmn|7,9 Di","2,4 Tatpurusha|4,6 Tatpurusha|6,9 Bahuvrihi|7,9 Dvandva","yat tat <na-dfSyam>Tatpurusha <na-grAhyam>Tatpurusha <a-<gotra-caraRam>Dvandva>Bahuvrihi Druvam
"
